순번,변수명,데이터 타입,설명,데이터 개수,결측치 존재,특징,변수 아이디어
1,fecha_dato               ,object,날짜,13647309,x,2015년 1~6월까지는 데이터가 상대적으로 적다.,"년도, 월 데이터를 별도로 추출하자"
2,ncodpers                 ,int64,고객 고유식별번호,13647309,x,숫자로 되어 있지만 엄밀히는 식별 번호이다.,고객 고유 식별 번호는 학습에 사용하지 않는다.
3,ind_empleado             ,object,"고용 지표 (A: active, B: ex employed, F: filial, N: not employee, P: passive)",13619575,o,5개 고유값 중 N이 99.9%로 빈도 편중이 높아 변수 중요도 낮을 수 있다.,
4,pais_residencia          ,object,고객 거주 국가,13619575,o,"알파벳 두 글자로 생성된 국가 변수이지만, 암호화가 되어 있어 국가 역추적은 어렵다. ES 빈도가 매우 높다.",
5,sexo                     ,object,성별,13619505,o,"성별 변수이다. V(여성)이 상대적으로 많다.",
6,age                      ,object,나이,13647309,x,분포 그래프가 중간에 끊긴다. 아래 숫자가 0 ~ 100 크기로 정렬되어 있지 않다.,나이 데이터가 정수형이 아니다. 정제가 필요하다.
7,fecha_alta               ,object,고객이 은행과 첫 계약을 체결한 날짜,13619575,o,"1995년  ~ 2016년까지 폭넓은 값을 가진다. 장기 고객도 존재하는 것 같다. 과거 5년과 최근 1년에 빈도가 높다.",
8,ind_nuevo                ,float64,신규 고객 지표(6개월 이내 신규 고객일 경우 값 = 1),13619575,o,"대부분이 0, 소수가 1인 변수이다.",정수로 변환하자.
9,antiguedad               ,object,은행 거래 누적 기간(월),13647309,x,,Age 변수와 비슷한 정제가 필요하다.
10,indrel                   ,float64,"고객 등급 (1: 1등급 고객, 99: 해당 달에 고객 1등급이 해제되는 1등급 고객)",13619575,o,"대부분이 1, 소수가 99인 변수이다.",정수로 변환하자.
11,ult_fec_cli_1t           ,object,1등급 고객으로서 마지막 날짜,24793,o,2015년 7월부터 2016년 5월까지 데이터이다.,
12,indrel_1mes              ,object,"월초 기준 고객 등급 (1: 1등급 고객, 2: co-owner, P: potential, 3: former primary, 4: former co-owner)",13497528,o,1과 1.0이 다른 값으로 존재한다.,P’를 정수로 변환하고 1.0을 1로 변환해서 동일한 값을 갖도록 한다.
13,tiprel_1mes              ,object,"월초 기준 고객 관계 유형 (A: active, I: inactive, P: former customer, R: potential)",13497528,o,"A, I 빈도가 높다.",
14,indresi                  ,object,거주 지표(고객의 거주 국가와 은행이 위치한 국가 동일 여부: S or N),13619575,o,S 빈도가 높다.,
15,indext                   ,object,외국인 지표(고객이 태어난 국가와 은행이 위치한 국가 동일 여부: S or N),13619575,o,N 빈도가 높다.,
16,conyuemp                 ,object,배우자 지표(1: 은행 직원을 배우자로 둔 고객),1808,o,N 빈도가 높다.,
17,canal_entrada            ,object,고객 유입 채널,13461183,o,"알파벳 세글자로 암호화된 유입 경로 변수이다. 상위 5개가 대부분을 차지한다.",
18,indfall                  ,object,고객 사망 여부(S(Yes) or N(No)),13619575,o,,
19,tipodom                  ,float64,주소 유형(1: primary address),13619574,o,"모든 값이 1, 변수로서 무의미하다.",변수 제거
20,cod_prov                 ,float64,지방 코드(주소 기반),13553718,o,"1 ~ 52 사이 값을 고르게 가지는 값이다. 상위 5개가 대부분을 차지한다.",굳이 실수일 필요가 없으니 정수로 변환한다.
21,nomprov                  ,object,지방 이름,13553718,o,"스페인 지역 이름을 나타낸다. cod_prov와 동일한 변수인 것으로 추측된다.",
22,ind_actividad_cliente    ,float64,"활발성 지표(1: active customer, 2: inactive customer)",13619575,o,0과 1 값을 가지는 변수이다.,정수로 변환하자.
23,renta                    ,float64,가구 총수입,10852934,o,10^3 ~ 2* 10^7의 값을 가지며 정확한 단위를 알 수 없다.,정수로 변환하자.
24,segmento                 ,object,"분류(1: VIP, 2: 개인, 3: 대졸)",13457941,o,개인이 가장 빈도가 높으나 대학생 비율이 생각보다 높다.,
25,ind_ahor_fin_ult1        ,int64,예금,13647309,x,,
26,ind_aval_fin_ult1        ,int64,보증,13647309,x,,
27,ind_cco_fin_ult1         ,int64,당좌 예금,13647309,x,"8월 여름에 가장 높은 값을 보이며, 겨울에는 축소되는 계절 추이를 보인다.",
28,ind_cder_fin_ult1        ,int64,파생 상품 게좌,13647309,x,,
29,ind_cno_fin_ult1         ,int64,급여 계정,13647309,x,,
30,ind_ctju_fin_ult1        ,int64,청소년 계정,13647309,x,,
31,ind_ctma_fin_ult1        ,int64,미스 특별 계정,13647309,x,,
32,ind_ctop_fin_ult1        ,int64,특정 계정,13647309,x,,
33,ind_ctpp_fin_ult1        ,int64,특정 플러스 계정,13647309,x,,
34,ind_deco_fin_ult1        ,int64,단기 예금,13647309,x,"2015-06-28에 특이하게 높은 값을 가지며, 다른 시기에는 값이 매우 낮다.",
35,ind_deme_fin_ult1        ,int64,중기 예금,13647309,x,,
36,ind_dela_fin_ult1        ,int64,장기 예금,13647309,x,,
37,ind_ecue_fin_ult1        ,int64,E - 계정,13647309,x,,
38,ind_fond_fin_ult1        ,int64,펀드,13647309,x,,
39,ind_hip_fin_ult1         ,int64,부동산 대출,13647309,x,,
40,ind_plan_fin_ult1        ,int64,연금,13647309,x,,
41,ind_pres_fin_ult1        ,int64,대출,13647309,x,,
42,ind_reca_fin_ult1        ,int64,세금,13647309,x,,
43,ind_tjcr_fin_ult1        ,int64,신용카드,13647309,x,,
44,ind_valo_fin_ult1        ,int64,증권,13647309,x,,
45,ind_viv_fin_ult1         ,int64,홈 계정,13647309,x,,
46,ind_nomina_ult1          ,float64,급여,13631246,o,"당좌 예금과 반대로 8월 여름에 가장 낮고, 2016-02-28에 가장 높다.",
47,ind_nom_pens_ult1        ,float64,연금,13631246,o,"당좌 예금과 반대로 8월 여름에 가장 낮고, 2016-02-28에 가장 높다.",
48,ind_recibo_ult1          ,int64,직불 카드,13647309,x,,
